frequency_ry,frequency_cm-1,raman_legacy,raman_new,ir_legacy,ir_new
0.006039154616240267,662.7208863177757,2.205815628195165,2.2058156281951637,0.10503883943786499,0.10503883943786493
0.006047830923248053,663.6730013463764,2.1962416106233023,2.1962416106233014,0.10458293383920486,0.1045829338392048
0.00605650723025584,664.625116374977,2.1867231314118065,2.1867231314118056,0.10412967292437175,0.10412967292437168
0.006065183537263626,665.5772314035777,2.177259786481568,2.1772597864815673,0.10367903745150325,0.1036790374515032
0.006073859844271412,666.5293464321783,2.167851175297972,2.1678511752979706,0.10323100834752247,0.10323100834752241
0.006082536151279199,667.481461460779,2.1584969008343844,2.1584969008343835,0.10278556670639927,0.10278556670639921
0.006091212458286985,668.4335764893796,2.1491965695360897,2.149196569536089,0.10234269378743284,0.1023426937874328
0.0060998887652947715,669.3856915179803,2.1399497912846406,2.1399497912846397,0.10190237101355432,0.10190237101355426
0.006108565072302558,670.3378065465809,2.130756179362637,2.1307561793626357,0.10146457996964939,0.1014645799696493
0.006117241379310344,671.2899215751816,2.1216153504189217,2.1216153504189212,0.10102930240090102,0.101029302400901
0.006125917686318131,672.2420366037821,2.112526924434179,2.112526924434178,0.10059652021115137,0.10059652021115131
0.006134593993325917,673.1941516323828,2.1034905246869493,2.1034905246869484,0.10016621546128329,0.10016621546128324
0.006143270300333703,674.1462666609834,2.094505777720032,2.0945057777200313,0.0997383703676206,0.09973837036762054
0.006151946607341491,675.0983816895842,2.085572313307291,2.0855723133072903,0.0993129673003472,0.09931296730034714
0.006160622914349277,676.0504967181848,2.076689764420851,2.0766897644208497,0.09888998878194527,0.09888998878194522
0.006169299221357063,677.0026117467855,2.06785776719866,2.0678577671986584,0.09846941748565047,0.0984694174856504
0.00617797552836485,677.9547267753861,2.0590759609124545,2.0590759609124536,0.0980512362339264,0.09805123623392636
0.006186651835372636,678.9068418039868,2.050343987936084,2.050343987936083,0.09763542799695638,0.09763542799695632
0.0061953281423804225,679.8589568325874,2.041661493714206,2.041661493714205,0.09722197589115267,0.09722197589115261
0.006204004449388209,680.8110718611881,2.0330281267313453,2.033028126731345,0.09681086317768313,0.09681086317768309
0.006212680756395995,681.7631868897887,2.0244435384813184,2.024443538481317,0.09640207326101516,0.0964020732610151
0.006221357063403782,682.7153019183894,2.015907383436997,2.015907383436997,0.09599558968747605,0.09599558968747603
